# utt_id	n_segments	relpath  (relative to SPANMARK_CORPUS_ROOT)
CON_T_0010914	249	train/con_wav/CON_T_0010914.wav
CON_T_0018996	130	train/con_wav/CON_T_0018996.wav
CON_T_0005629	216	train/con_wav/CON_T_0005629.wav
CON_T_0008522	114	train/con_wav/CON_T_0008522.wav
CON_T_0006943	133	train/con_wav/CON_T_0006943.wav
CON_T_0004175	383	train/con_wav/CON_T_0004175.wav
CON_T_0009896	130	train/con_wav/CON_T_0009896.wav
CON_T_0020343	143	train/con_wav/CON_T_0020343.wav
CON_T_0013963	115	train/con_wav/CON_T_0013963.wav
CON_T_0019731	65	train/con_wav/CON_T_0019731.wav
CON_T_0007015	133	train/con_wav/CON_T_0007015.wav
CON_T_0001732	169	train/con_wav/CON_T_0001732.wav
CON_T_0007465	248	train/con_wav/CON_T_0007465.wav
CON_T_0006920	170	train/con_wav/CON_T_0006920.wav
CON_T_0015812	89	train/con_wav/CON_T_0015812.wav
CON_T_0002292	152	train/con_wav/CON_T_0002292.wav
CON_T_0022247	133	train/con_wav/CON_T_0022247.wav
LA_T_1832323	113	train/con_wav/LA_T_1832323.wav
CON_T_0013453	99	train/con_wav/CON_T_0013453.wav
CON_T_0012094	141	train/con_wav/CON_T_0012094.wav
CON_T_0019025	86	train/con_wav/CON_T_0019025.wav
LA_T_8104399	145	train/con_wav/LA_T_8104399.wav
CON_T_0000943	75	train/con_wav/CON_T_0000943.wav
CON_T_0003465	333	train/con_wav/CON_T_0003465.wav
CON_T_0020640	210	train/con_wav/CON_T_0020640.wav
CON_T_0015288	124	train/con_wav/CON_T_0015288.wav
CON_T_0018992	112	train/con_wav/CON_T_0018992.wav
CON_T_0000061	98	train/con_wav/CON_T_0000061.wav
CON_T_0021668	193	train/con_wav/CON_T_0021668.wav
CON_T_0018523	157	train/con_wav/CON_T_0018523.wav
CON_T_0003603	94	train/con_wav/CON_T_0003603.wav
CON_T_0001869	96	train/con_wav/CON_T_0001869.wav
CON_T_0022816	122	train/con_wav/CON_T_0022816.wav
CON_T_0008941	88	train/con_wav/CON_T_0008941.wav
CON_T_0013772	129	train/con_wav/CON_T_0013772.wav
CON_T_0007546	177	train/con_wav/CON_T_0007546.wav
CON_T_0004290	161	train/con_wav/CON_T_0004290.wav
CON_T_0024282	87	train/con_wav/CON_T_0024282.wav
CON_T_0015533	173	train/con_wav/CON_T_0015533.wav
CON_T_0006374	215	train/con_wav/CON_T_0006374.wav
CON_T_0001676	128	train/con_wav/CON_T_0001676.wav
CON_T_0007059	126	train/con_wav/CON_T_0007059.wav
CON_T_0002400	106	train/con_wav/CON_T_0002400.wav
CON_T_0022291	219	train/con_wav/CON_T_0022291.wav
CON_T_0011582	96	train/con_wav/CON_T_0011582.wav
CON_T_0021339	146	train/con_wav/CON_T_0021339.wav
CON_T_0017564	111	train/con_wav/CON_T_0017564.wav
CON_T_0013335	146	train/con_wav/CON_T_0013335.wav
CON_T_0012554	236	train/con_wav/CON_T_0012554.wav
CON_T_0025259	87	train/con_wav/CON_T_0025259.wav
CON_T_0016401	160	train/con_wav/CON_T_0016401.wav
CON_T_0008599	151	train/con_wav/CON_T_0008599.wav
CON_T_0021416	135	train/con_wav/CON_T_0021416.wav
CON_T_0012834	248	train/con_wav/CON_T_0012834.wav
CON_T_0019657	83	train/con_wav/CON_T_0019657.wav
CON_T_0017217	127	train/con_wav/CON_T_0017217.wav
CON_T_0012369	117	train/con_wav/CON_T_0012369.wav
LA_T_5207966	207	train/con_wav/LA_T_5207966.wav
CON_T_0018917	110	train/con_wav/CON_T_0018917.wav
CON_T_0019954	129	train/con_wav/CON_T_0019954.wav
CON_T_0002383	149	train/con_wav/CON_T_0002383.wav
CON_T_0005218	327	train/con_wav/CON_T_0005218.wav
LA_T_9480695	233	train/con_wav/LA_T_9480695.wav
CON_T_0001629	197	train/con_wav/CON_T_0001629.wav
LA_T_5180830	118	train/con_wav/LA_T_5180830.wav
CON_T_0022491	250	train/con_wav/CON_T_0022491.wav
CON_T_0002662	305	train/con_wav/CON_T_0002662.wav
CON_T_0006063	118	train/con_wav/CON_T_0006063.wav
CON_T_0015674	319	train/con_wav/CON_T_0015674.wav
CON_T_0017235	139	train/con_wav/CON_T_0017235.wav
CON_T_0019453	104	train/con_wav/CON_T_0019453.wav
CON_T_0003032	165	train/con_wav/CON_T_0003032.wav
CON_T_0002442	121	train/con_wav/CON_T_0002442.wav
CON_T_0001396	57	train/con_wav/CON_T_0001396.wav
CON_T_0008811	196	train/con_wav/CON_T_0008811.wav
CON_T_0008781	84	train/con_wav/CON_T_0008781.wav
LA_T_6472152	175	train/con_wav/LA_T_6472152.wav
CON_T_0008977	106	train/con_wav/CON_T_0008977.wav
CON_T_0016202	47	train/con_wav/CON_T_0016202.wav
CON_T_0007138	150	train/con_wav/CON_T_0007138.wav
CON_T_0002480	102	train/con_wav/CON_T_0002480.wav
CON_T_0007791	134	train/con_wav/CON_T_0007791.wav
CON_T_0017919	254	train/con_wav/CON_T_0017919.wav
CON_T_0006143	154	train/con_wav/CON_T_0006143.wav
LA_T_9595433	241	train/con_wav/LA_T_9595433.wav
CON_T_0005390	145	train/con_wav/CON_T_0005390.wav
LA_T_1589744	307	train/con_wav/LA_T_1589744.wav
LA_T_8708087	250	train/con_wav/LA_T_8708087.wav
CON_T_0021291	202	train/con_wav/CON_T_0021291.wav
CON_T_0018834	140	train/con_wav/CON_T_0018834.wav
CON_T_0023584	203	train/con_wav/CON_T_0023584.wav
CON_T_0004005	188	train/con_wav/CON_T_0004005.wav
CON_T_0007729	222	train/con_wav/CON_T_0007729.wav
CON_T_0012578	189	train/con_wav/CON_T_0012578.wav
CON_T_0004321	141	train/con_wav/CON_T_0004321.wav
CON_T_0017223	106	train/con_wav/CON_T_0017223.wav
CON_T_0001209	250	train/con_wav/CON_T_0001209.wav
CON_T_0012661	77	train/con_wav/CON_T_0012661.wav
CON_T_0011026	305	train/con_wav/CON_T_0011026.wav
CON_T_0008099	166	train/con_wav/CON_T_0008099.wav
CON_T_0007006	233	train/con_wav/CON_T_0007006.wav
CON_T_0013602	140	train/con_wav/CON_T_0013602.wav
CON_T_0015660	95	train/con_wav/CON_T_0015660.wav
CON_T_0011433	82	train/con_wav/CON_T_0011433.wav
CON_T_0022738	193	train/con_wav/CON_T_0022738.wav
CON_T_0016137	247	train/con_wav/CON_T_0016137.wav
CON_T_0015391	174	train/con_wav/CON_T_0015391.wav
CON_T_0014022	121	train/con_wav/CON_T_0014022.wav
CON_T_0019846	139	train/con_wav/CON_T_0019846.wav
CON_T_0007601	33	train/con_wav/CON_T_0007601.wav
LA_T_6615690	186	train/con_wav/LA_T_6615690.wav
CON_T_0016739	136	train/con_wav/CON_T_0016739.wav
CON_T_0025197	344	train/con_wav/CON_T_0025197.wav
CON_T_0014030	200	train/con_wav/CON_T_0014030.wav
CON_T_0021538	103	train/con_wav/CON_T_0021538.wav
CON_T_0006490	334	train/con_wav/CON_T_0006490.wav
CON_T_0001419	108	train/con_wav/CON_T_0001419.wav
CON_T_0010680	210	train/con_wav/CON_T_0010680.wav
CON_T_0019700	114	train/con_wav/CON_T_0019700.wav
CON_T_0003287	118	train/con_wav/CON_T_0003287.wav
CON_T_0000628	120	train/con_wav/CON_T_0000628.wav
CON_T_0022230	120	train/con_wav/CON_T_0022230.wav
LA_T_8173514	188	train/con_wav/LA_T_8173514.wav
CON_T_0004499	56	train/con_wav/CON_T_0004499.wav
CON_T_0012404	120	train/con_wav/CON_T_0012404.wav
CON_T_0004666	237	train/con_wav/CON_T_0004666.wav
CON_T_0003045	158	train/con_wav/CON_T_0003045.wav
CON_T_0012342	73	train/con_wav/CON_T_0012342.wav
CON_T_0009071	122	train/con_wav/CON_T_0009071.wav
CON_T_0010316	149	train/con_wav/CON_T_0010316.wav
CON_T_0022445	249	train/con_wav/CON_T_0022445.wav
CON_T_0005351	91	train/con_wav/CON_T_0005351.wav
CON_T_0008466	98	train/con_wav/CON_T_0008466.wav
CON_T_0020805	106	train/con_wav/CON_T_0020805.wav
CON_T_0024852	376	train/con_wav/CON_T_0024852.wav
CON_T_0025010	152	train/con_wav/CON_T_0025010.wav
CON_T_0013021	200	train/con_wav/CON_T_0013021.wav
CON_T_0010591	159	train/con_wav/CON_T_0010591.wav
CON_T_0005704	94	train/con_wav/CON_T_0005704.wav
CON_T_0013145	220	train/con_wav/CON_T_0013145.wav
CON_T_0019697	69	train/con_wav/CON_T_0019697.wav
CON_T_0006069	183	train/con_wav/CON_T_0006069.wav
CON_T_0002524	138	train/con_wav/CON_T_0002524.wav
LA_T_4365113	107	train/con_wav/LA_T_4365113.wav
CON_T_0007534	74	train/con_wav/CON_T_0007534.wav
CON_T_0021636	110	train/con_wav/CON_T_0021636.wav
CON_T_0010210	165	train/con_wav/CON_T_0010210.wav
CON_T_0008117	100	train/con_wav/CON_T_0008117.wav
CON_T_0003730	68	train/con_wav/CON_T_0003730.wav
CON_T_0008432	174	train/con_wav/CON_T_0008432.wav
CON_T_0002586	144	train/con_wav/CON_T_0002586.wav
CON_T_0012008	114	train/con_wav/CON_T_0012008.wav
LA_T_6849040	169	train/con_wav/LA_T_6849040.wav
CON_T_0009954	121	train/con_wav/CON_T_0009954.wav
CON_T_0023934	67	train/con_wav/CON_T_0023934.wav
CON_T_0001934	213	train/con_wav/CON_T_0001934.wav
LA_T_6774071	118	train/con_wav/LA_T_6774071.wav
CON_T_0005417	111	train/con_wav/CON_T_0005417.wav
CON_T_0009608	49	train/con_wav/CON_T_0009608.wav
CON_T_0022476	105	train/con_wav/CON_T_0022476.wav
CON_T_0020449	258	train/con_wav/CON_T_0020449.wav
CON_T_0023031	91	train/con_wav/CON_T_0023031.wav
LA_T_1411980	98	train/con_wav/LA_T_1411980.wav
CON_T_0018011	95	train/con_wav/CON_T_0018011.wav
CON_T_0021664	180	train/con_wav/CON_T_0021664.wav
CON_T_0002103	114	train/con_wav/CON_T_0002103.wav
CON_T_0015338	136	train/con_wav/CON_T_0015338.wav
CON_T_0015754	154	train/con_wav/CON_T_0015754.wav
CON_T_0007063	85	train/con_wav/CON_T_0007063.wav
LA_T_2535749	258	train/con_wav/LA_T_2535749.wav
CON_T_0014669	122	train/con_wav/CON_T_0014669.wav
CON_T_0020005	154	train/con_wav/CON_T_0020005.wav
CON_T_0014398	189	train/con_wav/CON_T_0014398.wav
CON_T_0001677	142	train/con_wav/CON_T_0001677.wav
CON_T_0002311	123	train/con_wav/CON_T_0002311.wav
CON_T_0011791	139	train/con_wav/CON_T_0011791.wav
CON_T_0011035	247	train/con_wav/CON_T_0011035.wav
CON_T_0014856	180	train/con_wav/CON_T_0014856.wav
CON_T_0017182	315	train/con_wav/CON_T_0017182.wav
CON_T_0023511	227	train/con_wav/CON_T_0023511.wav
